matches,timestamp,champion,region,queue,season,matchId,role,platformId,lane,array2,test5_a,test5_b,test5_c_a,test5_c_b,test6_a,test6_b,test6_c_a,test6_c_b,test7_a,test7_b,test7_c_a,test7_c_b
emyid,1456853509683,104,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2111656338,NONE,NA1,JUNGLE,p9dq4,,,,,,,,,,,,
emyid,1456774650946,42,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2111083655,SOLO,NA1,MID,t9uff,123,456,123,456,,,,,,,,
emyid,1456772737802,16,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2111102282,DUO_SUPPORT,NA1,BOTTOM,,,,,,123,456,123,456,,,,
emyid,1456714846288,112,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2110782163,SOLO,NA1,MID,,,,,,,,,,123,456,123,456
emyid,1456712480450,114,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2110437778,SOLO,NA1,TOP,,,,,,,,,,,,,
emyid,1456600503615,12,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2109017501,DUO_SUPPORT,NA1,BOTTOM,,,,,,,,,,,,,
emyid,1456598841348,412,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2109025312,DUO_SUPPORT,NA1,BOTTOM,,,,,,,,,,,,,
emyid,1456596594722,12,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2109012529,DUO_SUPPORT,NA1,BOTTOM,,,,,,,,,,,,,
emyid,1456454266858,12,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2107751765,DUO_SUPPORT,NA1,BOTTOM,,,,,,,,,,,,,
emyid,1456360389218,201,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2106719511,DUO_SUPPORT,NA1,BOTTOM,,,,,,,,,,,,,
emyid,1456357596768,104,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2106695325,NONE,NA1,JUNGLE,,,,,,,,,,,,,
emyid,1456336688351,5,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2106504403,NONE,NA1,JUNGLE,,,,,,,,,,,,,
emyid,1456265007331,201,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2105782137,DUO_SUPPORT,NA1,BOTTOM,,,,,,,,,,,,,
emyid,1456258220418,79,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2105715395,NONE,NA1,JUNGLE,,,,,,,,,,,,,
emyid,1456256328002,79,NA,TEAM_BUILDER_DRAFT_RANKED_5x5,SEASON2016,2105713955,NONE,NA1,JUNGLE,,,,,,,,,,,,,

